,PLS_VIP,RF_imp,GB_imp,Permutation_SVR
AA-Wood-4,0.966315996088797,0.03426815091309858,0.06774178399789027,0.023285870053902903
AA_charge_rate,1.0024509556533265,0.01952172444706747,0.02632348163058721,0.010318758206888556
BF-CMratio,1.499735047831254,0.10219014990229207,0.1282445262570812,0.1453670303788717
BlackFlow-2,0.9122050926220086,0.041779420369931305,0.06621737777131147,0.1369521879002278
BlowFlow,0.6978081141295052,0.022729159603970504,0.013713562102598798,0.01914630784423869
ChipLevel4,0.9902426565473691,0.046423605564426394,0.044782689465591,0.060816961857182876
ChipMass-4,0.9979563790599174,0.027926200511926007,0.02470836311659641,0.007842166674719209
ChipMoisture-4,0.941709478122039,0.020017256870940376,0.006616092207783517,0.022393926194801753
ChipRate,1.1381984521554418,0.01970610706806025,0.0038502018538292496,0.030298528632427355
Hfactor_proxy,0.6924676458979275,0.024741183792918293,0.04304864275338703,-0.005782547178754712
Lower-HeatT-3,0.8457729630544013,0.014341006654074348,0.020763650287232066,-0.00799383051545709
SteamFlow-4,1.3686387997766436,0.11550253617843255,0.04529541229195225,0.08131869417989131
SteamHeatF-3,1.2538481804891386,0.1275593388079311,0.15515394905093094,0.14240110007666795
T-Top-Chips-4,0.8783158273997063,0.018293037282530462,0.011023501280997626,0.008334205243024513
T-lowerExt-2,0.9817711688280747,0.0238705473333124,0.003537346518104966,0.006348182013028606
T-upperExt-2,0.8173738105961739,0.02179849924295392,0.024281087523902258,0.04412129433861301
UCZAA,0.8982615248328157,0.018986225380922674,0.016240858546775833,0.014643031267555184
Upper-HeatT-3,0.9349880000564352,0.03323740685757409,0.009877454303787236,0.01659651760760296
WeakLiquorF,0.42339734316361005,0.0331514365939066,0.040300265798855324,-0.009073918389247582
WeakWashF,0.7188552592917999,0.02042308837084511,0.010055480737562872,0.006069373522942179
WhiteFlow-4,1.3833284135077375,0.21353391825288554,0.23822427250324257,0.12151083514782826
