,PC1,PC2
ChipRate,0.22078993393221813,0.12373024963333906
BF-CMratio,-0.1257320270755039,0.04196003877248122
BlowFlow,0.17504175099854527,0.10762706482177542
ChipLevel4,-0.07747217694821637,-0.21000289494155563
T-upperExt-2,0.09894507335650045,0.3394350034454271
T-lowerExt-2,0.2811881887915752,0.1372631439279538
UCZAA,-0.055809512564403335,0.3809837763362717
WhiteFlow-4,0.324250642556187,0.05146550688477647
AA-Wood-4,0.27895067378131294,-0.19811240709286151
ChipMoisture-4,0.2200078627392432,-0.015898201907376956
SteamFlow-4,0.26876163034139816,0.1927481544341948
Lower-HeatT-3,-0.27144002362006814,0.337467435207971
Upper-HeatT-3,-0.30122735824408897,0.22478509038014277
ChipMass-4,0.23823213868640436,0.19218135230264669
WeakLiquorF,0.08165878187329227,0.10814154937191874
BlackFlow-2,-0.2511444473633593,0.34812237276958985
WeakWashF,-0.06919429682579338,0.14715752171737068
SteamHeatF-3,0.21988914419084313,0.3617855686094834
T-Top-Chips-4,-0.26821517010534,0.011950517187746937
Hfactor_proxy,0.012963514528495368,0.2856435446638304
AA_charge_rate,0.2950957222274697,0.015112181321143905
